Date,ACWI,AGG,GOLD
2014/1/1,0.995495596,0.998556237,1.001212465
2014/1/2,0.981650908,1.000556397,1.00288456
2014/1/3,0.96748916,1.002908335,0.998199247
2014/1/6,0.96297243,1.005024491,1.00123706
2014/1/7,0.961544973,1.011394989,1.013231382
2014/1/8,0.966952004,1.010565801,1.019963486
2014/1/9,0.975335066,1.006124981,1.02955191
2014/1/10,0.978040162,1.010427324,1.029020184
2014/1/13,0.983645818,1.0136575,1.028254623
2014/1/14,0.98056603,1.015196008,1.032306311
2014/1/15,0.986381727,1.014160781,1.020519716
2014/1/16,0.996838229,1.016955385,1.015172964
2014/1/17,0.995584609,1.022162453,1.027714523
2014/1/20,0.99397582,1.021585175,1.02319073
2014/1/21,0.995726411,1.026355606,1.025030812
2014/1/22,1.002621113,1.022854675,1.028407617
2014/1/23,0.999702433,1.022951809,1.040170427
2014/1/24,1.003558422,1.021176237,1.044936356
2014/1/27,0.994291219,1.024264156,1.038889844
2014/1/28,0.997279654,1.020989398,1.037123365
2014/1/29,1.002382407,1.024285261,1.038299923
2014/1/30,1.013743145,1.018990613,1.033451035
2014/1/31,1.014621912,1.017522684,1.02721745
2014/2/3,1.020774127,1.012282893,1.025381428
2014/2/4,1.02197174,1.019827765,1.015000836
2014/2/5,1.014454323,1.021433079,1.014608942
2014/2/6,1.014046628,1.0231335,1.027547256
2014/2/7,1.010997844,1.024510028,1.018137318
2014/2/10,1.018885894,1.021409014,1.021724552
2014/2/11,1.015957474,1.020393738,1.025455761
2014/2/12,1.01546173,1.022363088,1.01928336
2014/2/13,1.01929058,1.026974845,1.02169866
2014/2/14,1.016751892,1.027186185,1.020232607
2014/2/17,1.019499032,1.029048226,1.029476327
2014/2/18,1.023207326,1.029764205,1.034851861
2014/2/19,1.019498301,1.028840894,1.022884861
2014/2/20,1.017789958,1.035207319,1.023184102
2014/2/21,1.017796992,1.027555939,1.023499943
2014/2/24,1.019964772,1.027520922,1.021748724
2014/2/25,1.031381045,1.023972531,1.014743149
2014/2/26,1.023748343,1.020680743,1.021080008
2014/2/27,1.037179896,1.012777217,1.017919715
2014/2/28,1.047268092,1.012117561,1.021750286
2014/3/3,1.052658635,1.012308166,1.031979078
2014/3/4,1.063809467,1.014308355,1.028891806
2014/3/5,1.048797315,1.016859148,1.034162048
2014/3/6,1.041108244,1.017370864,1.042485406
2014/3/7,1.028696754,1.018526478,1.053376179
2014/3/10,1.02674858,1.022349661,1.048161235
2014/3/11,1.039869293,1.020379682,1.044952856
2014/3/12,1.037883258,1.022650772,1.04274906
2014/3/13,1.036090282,1.025043111,1.040892022
2014/3/14,1.018563968,1.030043075,1.037805324
2014/3/17,1.012455723,1.028586799,1.044583676
2014/3/18,1.001575132,1.02688079,1.050438934
2014/3/19,0.997525093,1.021047952,1.045630099
2014/3/20,1.0003961,1.024074704,1.050619386
2014/3/21,1.00838127,1.022577826,1.051385505
2014/3/24,1.006024617,1.022513399,1.04614235
2014/3/25,0.992022262,1.015356494,1.048705081
2014/3/26,0.986770502,1.019597649,1.054383019
2014/3/27,0.982447202,1.017945377,1.056241377
2014/3/28,0.978566899,1.021063903,1.056771401
2014/3/31,0.992814834,1.017626081,1.06009258
2014/4/1,0.991145345,1.017882141,1.068695268
2014/4/2,0.987866349,1.01817109,1.074916786
2014/4/3,0.98761218,1.017700856,1.082973894
2014/4/4,0.982419401,1.014516668,1.076070039
2014/4/7,0.995533696,1.01245249,1.082726801
2014/4/8,0.990138608,1.00092531,1.080278961
2014/4/9,0.984858251,0.998082346,1.07301643
2014/4/10,0.978974411,0.99648465,1.075543844
2014/4/11,0.986580445,0.997628679,1.077235148
2014/4/14,0.986435842,1.002542244,1.061468437
2014/4/15,0.980555514,1.005249856,1.072434113
2014/4/16,0.971062866,1.009419997,1.072015587
2014/4/17,0.97808611,1.010995257,1.067473657
2014/4/18,0.976540115,1.013257947,1.067247233
2014/4/21,0.957675207,1.020920377,1.062842285
2014/4/22,0.956139889,1.018806345,1.067678561
2014/4/23,0.963525817,1.016842516,1.068745867
2014/4/24,0.956110327,1.019119968,1.077021364
2014/4/25,0.960361091,1.013712043,1.082041125
2014/4/28,0.956858211,1.011814848,1.09109345
2014/4/29,0.938440766,1.017717605,1.083975323
2014/4/30,0.943135075,1.01915719,1.075410508
2014/5/1,0.939649085,1.022153866,1.070206441
2014/5/2,0.940844135,1.026781082,1.092263483
2014/5/5,0.94309991,1.02215423,1.101446847
2014/5/6,0.956223024,1.021022633,1.104706496
2014/5/7,0.943410005,1.019168733,1.115263101
2014/5/8,0.943565025,1.018273212,1.122502734
2014/5/9,0.942104339,1.018570634,1.126998306
2014/5/12,0.945692711,1.016318483,1.126552865
2014/5/13,0.931532195,1.011505502,1.136124801
2014/5/14,0.9490508,1.008490058,1.13750783
2014/5/15,0.946909186,1.009705596,1.142164618
2014/5/16,0.951475688,1.007110993,1.146816347
2014/5/19,0.948412328,1.005014986,1.152276814
2014/5/20,0.945790816,1.003095581,1.146775603
2014/5/21,0.953393761,1.000580408,1.151200304
2014/5/22,0.948189317,1.000781603,1.151626819
2014/5/23,0.937022771,1.000378374,1.156320785
2014/5/26,0.93888854,0.997104798,1.158383165
2014/5/27,0.931579397,0.9935189,1.153019865
2014/5/28,0.931724599,0.99431353,1.148237334
2014/5/29,0.92915632,0.994418602,1.149439231
2014/5/30,0.923839715,0.988970917,1.156105836
2014/6/2,0.932767909,0.985398926,1.165444836
2014/6/3,0.9259522,0.983932633,1.161275361
2014/6/4,0.926378268,0.984174712,1.168103275
2014/6/5,0.932605414,0.983870563,1.161128023
2014/6/6,0.940131492,0.982309152,1.163779598
2014/6/9,0.945437207,0.98163717,1.170090381
2014/6/10,0.943675655,0.983535372,1.173961979
2014/6/11,0.942275739,0.988619508,1.184625369
2014/6/12,0.948936677,0.987388037,1.186503425
2014/6/13,0.936095067,0.988668566,1.18035887
2014/6/16,0.936610545,0.989233412,1.188063705
2014/6/17,0.939627317,0.991511857,1.185682626
2014/6/18,0.93527843,0.991700855,1.174519961
2014/6/19,0.932085045,0.993031974,1.169579211
2014/6/20,0.930388217,0.993006915,1.169748615
2014/6/23,0.93739751,0.991071199,1.169890844
2014/6/24,0.924434396,0.985339491,1.163622699
2014/6/25,0.931376635,0.984023992,1.157496279
2014/6/26,0.9128081,0.988509621,1.16350969
2014/6/27,0.918487746,0.99064992,1.179264026
2014/6/30,0.925313116,0.989147769,1.178436814
2014/7/1,0.909423478,0.991930642,1.17156543
2014/7/2,0.917717791,0.995210885,1.167837997
2014/7/3,0.902307445,0.997559051,1.159378901
2014/7/4,0.917282013,0.996269839,1.149684895
2014/7/7,0.907100968,0.999729254,1.161416618
2014/7/8,0.907434464,1.001202827,1.161199682
2014/7/9,0.902474003,1.002632807,1.169250711
2014/7/10,0.901567144,1.000458284,1.165869899
2014/7/11,0.911290319,0.996529,1.177681675
2014/7/14,0.908436693,0.99249085,1.183855908
2014/7/15,0.907666265,0.992008474,1.175350993
